"","High","Low","Close","Rets","ATR","EWM_FAST","EWM_SLOW","MACD","signal","diffMACD","EMA_10","EMA_20","EMA_50","SMA_10","SMA_20","SMA_50","slopeClose","slopeMACD","ADX","RSI","Stoch","BinaryRets","BinaryRets_1","BinaryRets_2","label"
"X2005.02.04",1.890895,1.873291,1.873291,-0.00483269124112559,0.0143123006345185,1.88062537574725,1.88450304028097,-0.00387766453372218,-0.00527291061117904,0.00139524607745686,-0.00539106481361723,-0.00444901794216121,0.00111858700739079,-0.00610190966551369,-0.00771109208634825,0.00674276847179124,0.00162169857836001,-0.000241254550981136,16.8987662706485,44.3845165409563,0,0,0,1,0
"X2005.02.07",1.875293,1.855597,1.858011,-0.00815676795543242,0.0146968505891958,1.8771462410169,1.88254066692682,-0.0053944259099219,-0.00529721367092761,-9.72122389942872e-05,-0.00539167592203626,-0.00453905679623366,0.000863174736123622,-0.00568500572706454,-0.00765111655079576,0.00629827139339058,0.00806882488597667,-0.000604848570657586,18.1526921147823,38.0322438081725,0.122562956945579,0,0,0,0
"X2005.02.08",1.859911,1.851612,1.853912,-0.00220612256870389,0.0142398612613961,1.87357174239892,1.88042002493224,-0.00684828253332737,-0.00560742744340756,-0.00124085508991981,-0.00565651348772555,-0.00475898305690925,0.000560764647125544,-0.00537657209178886,-0.00761542555797492,0.00578939657249672,0.0101392525323122,-0.000957312239608894,19.5448513392326,36.5221857312761,0.277141824316177,0,0,0,1
"X2005.02.09",1.864211,1.85271,1.859185,0.00284425582228287,0.0140442283141535,1.87135839741447,1.87884706012245,-0.00748866270798021,-0.00598367449632209,-0.00150498821165812,-0.00598963152777185,-0.00501895254748743,0.00024510082927826,-0.00525648793774904,-0.00762644172533211,0.0052067800424802,0.00458726782306366,-0.0010007308725003,20.3114353123799,39.8317702221118,0.562994522215461,1,0,0,1
"X2005.02.10",1.87301,1.851783,1.868111,0.0048010284076087,0.0145572834345711,1.87085879781224,1.87805179640967,-0.00719299859743217,-0.00622553931654411,-0.00096745928088806,-0.00620842554043736,-0.00522600455224407,-4.65893443182274e-05,-0.00528511615965237,-0.00759960263451132,0.00460180674924812,-0.00228989599754054,-0.000613318592033443,20.0416358892953,45.0541691967823,0.769209026240168,1,1,0,1
"X2005.02.11",1.870697,1.862995,1.869893,0.000953904773324471,0.0140676203321017,1.87071021353344,1.87744744112007,-0.00673722758663331,-0.00632787697056195,-0.000409350616071363,-0.00630457136701844,-0.00536993055551924,-0.000308967314605093,-0.00539804577898231,-0.0074947577327627,0.00395700879302072,-0.00325028855419515,-3.50880944978409e-05,19.791107853574,46.0607376538164,0.895611529472862,1,1,1,1
"X2005.02.14",1.891682,1.868984,1.887184,0.00924705317363076,0.0146840760226659,1.8732446422206,1.87816866770377,-0.00492402548316817,-0.00604710667308319,0.00112308118991502,-0.00605356302450021,-0.00532746340577152,-0.000489949987882077,-0.00540117928952306,-0.0072079526646376,0.00332771844220984,-0.00171909830651487,0.000582350949694229,19.0765777004734,54.7272195550944,0.801832760595643,1,1,1,1
"X2005.02.15",1.897785,1.883984,1.895303,0.00430217721218492,0.0146209991639041,1.87663823572512,1.87943787750349,-0.00279964177836578,-0.00539761369413971,0.00259797191577393,-0.0054619409797485,-0.00508671848887573,-0.000580526136528496,-0.00524641176314302,-0.00677349054385994,0.00271729941018183,0.00224349623594771,0.00102964570869997,18.8388169247847,58.1290869214286,0.82015795956814,1,1,1,0
"X2005.02.16",1.895196,1.876208,1.884197,-0.00585974907442243,0.0149405706521966,1.87780112253664,1.87979040509582,-0.00198928255918052,-0.00471594746714787,0.00272666490796736,-0.00483054853964523,-0.00479172459080952,-0.000635771486436419,-0.00506933165827954,-0.00630290067095597,0.00212370798155382,0.000761099853038517,0.00103955671648003,17.930823404984,52.3358738669449,0.420739414366958,0,1,1,1
"X2005.02.17",1.896094,1.883913,1.895016,0.00574196859457909,0.014743458462754,1.88044956522331,1.88091822694058,-0.000468661717264007,-0.0038664903171711,0.00339782859990709,-0.00403747820830319,-0.00438000431713852,-0.000629218162155148,-0.00477208734069956,-0.00576495930989497,0.00158931779694152,-0.00175909818553115,0.000921793953916803,17.1562921188789,56.8476221934642,0.91150151875873,1,0,1,0
